bitlength,duration_s,exchange_success
2048,0.00467563,1
4096,0.0335162,1
8192,0.223156,1
2048,0.00484771,1
4096,0.0340043,1
8192,0.223911,1
2048,0.00474575,1
4096,0.0336605,1
8192,0.223498,1
2048,0.00479979,1
4096,0.0337102,1
8192,0.223622,1
2048,0.004696,1
4096,0.0334045,1
8192,0.224919,1
2048,0.00481788,1
4096,0.0334435,1
8192,0.223034,1
2048,0.00479292,1
4096,0.0334111,1
8192,0.224877,1
2048,0.00480467,1
4096,0.0332146,1
8192,0.225371,1
2048,0.00475854,1
4096,0.0334665,1
8192,0.223376,1
2048,0.00470046,1
4096,0.0334041,1
8192,0.223405,1
2048,0.00474233,1
4096,0.0333087,1
8192,0.223265,1
2048,0.00489875,1
4096,0.0332644,1
8192,0.222787,1
2048,0.00474921,1
4096,0.0334355,1
8192,0.223164,1
2048,0.00486154,1
4096,0.0335783,1
8192,0.223222,1
2048,0.00475046,1
4096,0.0333852,1
8192,0.223273,1
2048,0.004737,1
4096,0.0333422,1
8192,0.234233,1
2048,0.0047725,1
4096,0.0336407,1
8192,0.236146,1
2048,0.00471383,1
4096,0.0337142,1
8192,0.225671,1
2048,0.00473404,1
4096,0.033464,1
8192,0.223232,1
2048,0.00489542,1
4096,0.0336606,1
8192,0.223359,1
2048,0.00476938,1
4096,0.033463,1
8192,0.223516,1
2048,0.0047635,1
4096,0.0337151,1
8192,0.223717,1
2048,0.00496154,1
4096,0.0336008,1
8192,0.223631,1
2048,0.00488017,1
4096,0.0334835,1
8192,0.225625,1
2048,0.00471292,1
4096,0.0335396,1
8192,0.223964,1
2048,0.00490992,1
4096,0.0335398,1
8192,0.224742,1
2048,0.0048185,1
4096,0.0334339,1
8192,0.223582,1
2048,0.00472442,1
4096,0.033378,1
8192,0.225182,1
2048,0.00479629,1
4096,0.0334394,1
8192,0.22494,1
2048,0.00484479,1
4096,0.0334982,1
8192,0.227237,1
2048,0.00480025,1
4096,0.0339334,1
8192,0.223625,1
2048,0.00490196,1
4096,0.0336093,1
8192,0.223284,1
2048,0.0049125,1
4096,0.0334667,1
8192,0.223055,1
2048,0.00472996,1
4096,0.0334098,1
8192,0.225773,1
2048,0.00497683,1
4096,0.0338526,1
8192,0.223755,1
2048,0.00474604,1
4096,0.0337021,1
8192,0.223587,1
2048,0.00482275,1
4096,0.0335783,1
8192,0.223105,1
2048,0.00469388,1
4096,0.0333944,1
8192,0.223392,1
2048,0.00477129,1
4096,0.0334099,1
8192,0.225122,1
2048,0.00479988,1
4096,0.0387803,1
8192,0.224454,1
2048,0.00496221,1
4096,0.0334602,1
8192,0.223205,1
2048,0.00494583,1
4096,0.0335761,1
8192,0.223342,1
2048,0.00499533,1
4096,0.0337137,1
8192,0.223319,1
2048,0.00493275,1
4096,0.0335438,1
8192,0.223638,1
2048,0.00494367,1
4096,0.0336655,1
8192,0.222813,1
2048,0.00478379,1
4096,0.0335915,1
8192,0.223299,1
2048,0.00473842,1
4096,0.0336889,1
8192,0.226169,1
2048,0.00492196,1
4096,0.0336353,1
8192,0.240619,1
2048,0.00499929,1
4096,0.0335595,1
8192,0.223289,1
2048,0.00481958,1
4096,0.0334523,1
8192,0.222795,1
2048,0.00485875,1
4096,0.0335387,1
8192,0.223922,1
